GW_CSA_AAA,Strengthened Security Patrol 
TEXT_COMPANY_CSA_OFFICE_DESCRIPTION,Establish a local headquarters to manage the system. Enables infrastructure options and decreases the time before the planet's full income is accessible.
TEXT_COMPANY_CYGNUS,Cygnus Spaceworks
TEXT_COMPANY_CYGNUS_DESCRIPTION,All Cygnus Spaceworks products: Nemesis-class Gunship, Delta JV-7 Escort Shuttle.
TEXT_COMPANY_DAMORIAN_DESCRIPTION,All Damorian products: Carrack Cruiser and Tartan Patrol Cruiser.
TEXT_COMPANY_DARK_EMPIRE,Emperor's Cloning Facility
TEXT_COMPANY_DARK_EMPIRE_DESCRIPTION,Establishes Dark Empire and maintains Palpatine's clone body. Destruction will end the Dark Empire Regime.
TEXT_COMPANY_DARK_EMPIRE_GARRISON_1,Stormtrooper Carbineer Squad: 2 / ∞
TEXT_COMPANY_DARK_EMPIRE_GARRISON_2,Stormtrooper Rifleman Squad: 2 / ∞
TEXT_COMPANY_DARK_EMPIRE_GARRISON_3,Scorpenek Annihilator Droid: 2 / 4
TEXT_COMPANY_DARK_EMPIRE_GARRISON_4,Chrysalide Beast: 2 / 2
TEXT_COMPANY_EMPIRE_CAPITAL,Imperial Palace
TEXT_COMPANY_EMPIRE_MOFFPALACE,Moff Palace
TEXT_COMPANY_EOTH_CAPITAL,Hand of Thrawn
TEXT_COMPANY_ERIADU_CAPITAL,Superior General's Headquarters
TEXT_COMPANY_GALENTRO,Galentro Heavy Works
TEXT_COMPANY_GALENTRO_DESCRIPTION,All Galentro products: Enforcer picket ship.
TEXT_COMPANY_GARRISON_ADC,X10 Groundcruiser: 1 / 1
TEXT_COMPANY_GARRISON_ARAKYD,Light Mercenary Squad: 1 / 1
TEXT_COMPANY_GARRISON_BAKTOID,Destroyer Droid-II: 4 / 4
TEXT_COMPANY_GARRISON_BOTHAWUI_SHIPYARDS,Bothan Local Militia: 1 / 1
TEXT_COMPANY_GARRISON_CARIDA_ACADEMY,Local Military Squad: 2 / 2
TEXT_COMPANY_GARRISON_CEDF,Chiss Bodyguard Squad: 1 / 1
TEXT_COMPANY_GARRISON_COLICOID,Q-Series Destroyer Droid: 4 / 4
TEXT_COMPANY_GARRISON_CYGNUS,Corporate Security Trooper Squad: 1 / 1
TEXT_COMPANY_GARRISON_GALENTRO,Corporate Security Trooper Squad: 1 / 1
TEXT_COMPANY_GARRISON_GORMTALQUIST,Corporate Security Trooper Squad: 1 / 1
TEXT_COMPANY_GARRISON_HOERSCH_KESSEL_TR,B2 Super Battle Droid Squad: 1 / 1
TEXT_COMPANY_GARRISON_KOENSAYR,Police Enforcer Carbineer Squad: 1 / 1
TEXT_COMPANY_GARRISON_LORONAR,Corporate Security Trooper Squad: 1 / 1
TEXT_COMPANY_GARRISON_MCS1,Mon Calamari Local Militia: 1 / 1
TEXT_COMPANY_GARRISON_MCS2,Quarren Local Militia: 1 / 1
TEXT_COMPANY_GARRISON_MERKUNI,Corporate Security Trooper Squad: 1 / 1
TEXT_COMPANY_GARRISON_METALWORKS_GUILD,Local Military Squad: 2 / 2
TEXT_COMPANY_GARRISON_NENCARVON,Corporate Security Trooper Squad: 1 / 1
TEXT_COMPANY_GARRISON_NETTEHI,Paataatus Skiff: 1 / 1
TEXT_COMPANY_GARRISON_OLANJI_CHARUBAH,Royal House Guard Squad: 1 / 1
TEXT_COMPANY_GARRISON_RAPACC,Paccian Missile Tank: 1 / 1
TEXT_COMPANY_GARRISON_REC,Marine Squad: 1 / 1
TEXT_COMPANY_GARRISON_ROSSUM,B1 Battle Droid Squad: 2 / 2
TEXT_COMPANY_GARRISON_SECURITECH,Security Police Squad: 1 / 1
TEXT_COMPANY_GARRISON_SFS,Chiss Local Militia: 1 / 1
TEXT_COMPANY_GARRISON_SLAYN_KORPIL,Defense Force Trooper Anti-Personnel Squad: 1 / 1
TEXT_COMPANY_GARRISON_SOLITAIR,Garwian Gunship: 1 / 1
TEXT_COMPANY_GARRISON_TAGGECO,Corporate Security Trooper Squad: 1 / 1
TEXT_COMPANY_GARRISON_TARKIN_ESTATES,Local Military Squad: 2 / 2
TEXT_COMPANY_GARRISON_TELGORN,Police Enforcer Carbineer Squad: 1 / 1
TEXT_COMPANY_GARRISON_TRANSGALMEG_TR,B1 Battle Droid Squad: 2 / 2
TEXT_COMPANY_GARRISON_ULBAN,Security Police Squad: 1 / 1
TEXT_COMPANY_GARRISON_YUTRANE_TRACKATA,Defense Force Trooper Anti-Personnel Squad: 1 / 1
TEXT_COMPANY_GARRISON_ZZIP,Police Enforcer Carbineer Squad: 1 / 1
TEXT_COMPANY_GORMTALQUIST,Gorm•Talquist
TEXT_COMPANY_GORMTALQUIST_DESCRIPTION,All Gorm•Talquist products: S-1 FireHawke, Imperial II Repulsortank
TEXT_COMPANY_GUARJA_DESCRIPTION,All Guarja products: Juvard Frigate, Barabbula Frigate, Tarrada Frigate, Batil Carrier, Szajin Cruiser, Karagga Destroyer, Chelandion Cruiser, Vontor Destroyer, Karabos Destroyer, Dor'bulla, and Bou'Halec
TEXT_COMPANY_HAND_REPRESENTATIVEOFFICE,Representative's Office
TEXT_COMPANY_HOERSCH_KESSEL_DESCRIPTION,All Hoersch-Kessel products: Recusant Light Destroyer, Core Ship, and Lucrehulk Battle Carrier.
TEXT_COMPANY_INCOM_DESCRIPTION,All Incom products: Assault T-47 Airspeeder.
TEXT_COMPANY_JEDI_TEMPLE,Jedi Praxeum
TEXT_COMPANY_JEDI_TEMPLE_DESCRIPTION,An academy to train the knights of the New Jedi Order, called a praxeum after ancient roots that combine the concepts of learning and action.
TEXT_COMPANY_KDY_BRANCH,KDY Subsidiary
TEXT_COMPANY_KDY_BRANCH_DESCRIPTION,Limited selection of Kuat Drive Yards products: AT-PT, AT-RT, AT-ST variants, AT-MP, AT-DP, Desert Sail-20 Skiff, Bantha-II Skiff, SuperHaul-II Skiff, Personnel Skiff Model IV, 1-L, 1-M, 1-H, 2-M, TX-130S, WLO-5 Speeder Tank, Guardian 5e Personal Speeder, UT-AA, AT-AA variants, AT-AP, AT-AT, A9 Fortress, Luxury-class Sail Barge, C10, SPMA variants, INT-4, MAAT, IDT, Juggernaut variants, VT-49, Lancer, Ubrikkian Cruiser, Ubrikkian Frigate, Raider variants, Vigil, Kossak Frigate, Adz, Arquitens, Corona, Active, Surveyor, Minstrel Yacht, Nebulon variants, Ton-Falk, Galleon variants, Broadside, Victory Frigate variants, Imperial Frigate variants, Imperial Cargo Ship, Super Transports, KDY Strike, Enforcer, Pursuit, Dragon, Gladiator variants, Acclamator variants, Victory variants, Venator, Procursator, ISD variants, Secutor, and Allegiance.
TEXT_COMPANY_KDY_DESCRIPTION,All KDY products: AT-PT, AT-RT, AT-ST variants, AT-MP, AT-DP, Desert Sail-20 Skiff, Bantha-II Skiff, SuperHaul-II Skiff, Personnel Skiff Model IV, 1-L, 1-M, 1-H, 2-M, TX-130S, WLO-5 Speeder Tank, Guardian 5e Personal Speeder, UT-AA, AT-AA variants, AT-AP, AT-AT, A9 Fortress, Luxury-class Sail Barge, C10, SPMA variants, INT-4, MAAT, IDT, Juggernaut variants, VT-49, Lancer, Ubrikkian Cruiser, Ubrikkian Frigate, Raider variants, Vigil, Kossak Frigate, Adz, Arquitens, Corona, Active, Surveyor, Minstrel Yacht, Nebulon variants, Ton-Falk, Galleon variants, Broadside, Victory Frigate variants, Imperial Frigate variants, Imperial Cargo Ship, Super Transports, KDY Strike, Enforcer, Pursuit, Dragon, Gladiator variants, Acclamator variants, Victory variants, Venator, Procursator, ISD variants, Secutor, Allegiance, Sorannan, Praetor variants, Bellator, Mandator variants, Sovereign, Vengeance, Executor, Assertor, and Eclipse.
TEXT_COMPANY_KILLIK_CAPITAL,The Colony
TEXT_COMPANY_KOENSAYR,Koensayr Manufacturing
TEXT_COMPANY_KOENSAYR_DESCRIPTION,All Koensayr products: Citadel Cruiser.
TEXT_COMPANY_LORONAR,Loronar Corporation
TEXT_COMPANY_LORONAR_DESCRIPTION,All Loronar products: Strike Cruiser, Gorath Strike Cruiser, Interdictor Strike Cruiser, Belarus Cruiser, and Torpedo Sphere.
TEXT_COMPANY_MALDROOD_CAPITAL,High Admiral's Fortress
TEXT_COMPANY_MANDAL_MOTORS_DESCRIPTION,All MandalMotors products: Canderous Tank, Kom'rk-class Fighter, Crusader Gunship, Keldabe Battleship.
TEXT_COMPANY_MCS,Mon Calamari Shipyards
TEXT_COMPANY_MCS_DESCRIPTION,All Mon Calamari Shipyards products: MC30c, MC40a, MC75, MC80, MC80B, MC90, Home One Type, Mediator Battle Cruiser, Mon Calamari Heavy Carrier, and Viscount.
TEXT_COMPANY_MEKUUN_DESCRIPTION,All Mekuun products: Repulsor Scout, Armored Personnel Carrier, Swift Assault 5, UT-AA, and Heavy Tracker.
TEXT_COMPANY_MERKUNI,Merkuni Drives
TEXT_COMPANY_MERKUNI_DESCRIPTION,All Merkuni products: Trenchant Cruiser, Imperial Escort Carrier.
TEXT_COMPANY_METALWORKS_GUILD,Nazfar Metalworks Guild
TEXT_COMPANY_METALWORKS_GUILD_DESCRIPTION,All Metalworks Guild products: Thrustship variants.
TEXT_COMPANY_NENCARVON,Nen-Carvon
TEXT_COMPANY_NENCARVON_DESCRIPTION,All Nen-Carvon products: Teklos Mobile Command Base, PX-4 Mobile Command Base, PX-7 Troop Transport, PX-10 Compact Assault Vehicle, Tracked Shield Disabler, Tracked Mobile Base, and Heavy Recovery Vehicle.
TEXT_COMPANY_NETTEHI,Hiveborn Citadel
TEXT_COMPANY_NETTEHI_DESCRIPTION,All Paataatus Hiveborn products: Paataatus Skiff, Baomu Fleet Tender, Shandian Enhanced Cruiser and Jiucha Heavy Frigate.
TEXT_COMPANY_NEWREP_CAPITAL,New Republic Senate
TEXT_COMPANY_OLANJI_CHARUBAH,Olanji/Charubah
TEXT_COMPANY_OLANJI_CHARUBAH_DESCRIPTION,All Olanji/Charubah products: Charubah Frigate, Olanji Frigate, Hapes Battle Dragon, and Terephon Crusier.
TEXT_COMPANY_RANCOR_DESCRIPTION,Rancor Base serves as the secret headquarters of Warlord Zsinj's Empire. It provides a discount on all military hardware.
TEXT_COMPANY_RAPACC,Boropacc Consulate
TEXT_COMPANY_RAPACC_DESCRIPTION,All Paccosh Governance products: Paccian Missile Tank, Kuuro Gunship, Rohkea Frigate and Raju Heavy Frigate.
TEXT_COMPANY_REC,Republic Engineering Corporation
TEXT_COMPANY_REC_DESCRIPTION,All REC products: Agave Corvette, Warrior Gunship, Sacheen Light Escort, Hajen Fleet Tender, Majestic Heavy Cruiser, Defender Assault Carrier, Nebula Star Destroyer, and Endurance Star Destroyer.
TEXT_COMPANY_RECRUITMENTOFFICE,Local Recruitment Office
TEXT_COMPANY_RENDILI_DESCRIPTION,All Rendili products: Customs Light Corvette, Dreadnaught Heavy Cruiser variants, Assault Frigate variants, Battle Horn, Neutron Star, Gladiator variants, Victory variants, Republic Star Destroyer, and Invincible Dreadnaught.
TEXT_COMPANY_REPRESENTATIVEOFFICE_DESCRIPTION,Appoint a liaison to manage the Hand's relationship with the system. Enables infrastructure options and decreases the time before the planet's full income is accessible.
TEXT_COMPANY_ROSSUM,Rossum Droidworks
TEXT_COMPANY_ROSSUM_DESCRIPTION,Surplus Battle Droids: B1, Destroyer Droid, Persuader, Hailfire, and CA Artillery.
TEXT_COMPANY_SECURITECH,SecuriTech
TEXT_COMPANY_SECURITECH_DESCRIPTION,All SecuriTech products: Espo Walkers.
TEXT_COMPANY_SIENAR,Sienar Fleet Systems
TEXT_COMPANY_SIENAR_DESCRIPTION,All Sienar products: Reconnaissance Troop Transporter, TIE Mauler, TIE Crawler, ULAV, Lancet Aerial Artillery, Ye-4 Gunship, Guardian Light Cruiser, IPV Patrol Craft variants, Marauder Cruiser, Vindicator Heavy Cruiser, Enforcer Picket Ship, Twin Well Immobilizer Cruiser, Immobilizer 418 Cruiser, and Interdictor Star Destroyer.
TEXT_COMPANY_SLAYN_KORPIL,Slayn & Korpil
TEXT_COMPANY_SLAYN_KORPIL_DESCRIPTION,Slayn and Korpil and Mon Calamari Shipyards products: V-Wing Airspeeder, MC30c, MC40a, MC75, MC80, MC80B, and MC90.
TEXT_COMPANY_SOLITAIR,Solitair Security Center
TEXT_COMPANY_SOLITAIR_DESCRIPTION,All Garwian Unity products: Garwian Gunship, Nasir Gunship, Muqaraea Corvette and Saytara Carrier.
TEXT_COMPANY_SOROSUUB_DESCRIPTION,All SoroSuub products: AAC variants, Flashblind Airspeeder, Quasar Fire Escort Carrier, Dauntless Heavy Cruiser, Liberator Cruiser, and Bulwark-III Battlecruiser.
TEXT_COMPANY_SSIRUU_CAPITAL,Cree'n'aak Palace
TEXT_COMPANY_SSIRUU_PALACE,Ssi-Ruuvi Palace
TEXT_COMPANY_TAGGECO,TaggeCo
TEXT_COMPANY_TAGGECO_DESCRIPTION,All TaggeCo products: JX40 Jailspeeder, Strikebreaker, A-A5 Speeder Truck, Modular Taskforce Cruiser variants, and Tagge Battlecruiser.
TEXT_COMPANY_TAIM_BAK_DESCRIPTION,All Taim & Bak products: Mobile Artillery Hovertank variants and Heavy Artillery Platform.
TEXT_COMPANY_TARKIN_ESTATES,Quintad Orbital Manufacturing
TEXT_COMPANY_TARKIN_ESTATES_DESCRIPTION,Quintad Orbital Manufacturing maintains a network of shipyards and advanced factories on Eriadu. Provides a discount and time reduction on all military hardware.
TEXT_COMPANY_TELGORN_DESCRIPTION,All Telgorn products: Gamma ATR-6 and Beta ETR-3.
TEXT_COMPANY_TRANSGALMEG_DESCRIPTION,All TransGalMeg products: Bulwark-I, -II, and -III Battlecruisers.
TEXT_COMPANY_UBRIKKIAN_DESCRIPTION,All Ubrikkian products: Desert Sail-20 Skiff, Bantha-II Skiff, SuperHaul-II Skiff, Personnel Skiff Model IV, WLO-5 Speeder Tank, Guardian 5e Personal Speeder, 1-L Repulsortank, 1-M Repulsortank, 1-H Repulsortank, A9 Floating Fortress, Luxury-class Sail Barge, C-10 Siege Tower, Minstrel Yacht, Hutt Galleon Frigate, Ubrikkian Cruiser, Ubrikkian Frigate, and Kossak Frigate.
TEXT_COMPANY_ULBAN,Ulban Arms
TEXT_COMPANY_ULBAN_DESCRIPTION,All Ulban products: Class I Defense Droids.
TEXT_COMPANY_UULSHOS_DESCRIPTION,All Uulshos products: LAVr QH-7 Chariot, Infantry Support Platform, and SX20 Airskimmer.
TEXT_COMPANY_VONG_CAPITAL,Supreme Overlord's Citadel
TEXT_COMPANY_WARLORD_CAPITAL,Warlord's Palace
TEXT_COMPANY_YEVETHA_CAPITAL,Darama's Palace
TEXT_COMPANY_YEVETHA_OFFICE,Primate's Palace
TEXT_COMPANY_YUTRANE_TRACKATA,Yutrane-Trackata
TEXT_COMPANY_YUTRANE_TRACKATA_DESCRIPTION,All Yutrane-Trackata products: T1-B, T2-B, T3-B, and T4-B.
TEXT_COMPANY_ZE_CAPITAL_ALTERNATE,General Staff Headquarters
TEXT_COMPANY_ZSINJ_CAPITAL,Rancor Base
TEXT_COMPANY_ZZIP,zZip Defense Concepts
TEXT_COMPANY_ZZIP_DESCRIPTION,All zZip products: K-222 Aero-Interceptors.
TEXT_CONQUEST_BACTAWAR_GE_INTRO,Isard: Our scientists have developed a virus which we have deployed on Coruscant to sow disorder and hostility among the Rebels. We need to take advantage of the situation and strike as soon as possible.
TEXT_CONQUEST_BACTAWAR_NR_1,Wedge Antilles: The Republic has taken Coruscant, but on her way out, Isard unleashed a deadly virus that only infects non-humans. We're trying to quarantine the problem but it's getting out of hand. General Cracken is getting the Vratix established on Borleias to look into a cure.
TEXT_CONQUEST_BACTAWAR_NR_2,The Vratix have completed their research. They think they've discovered a cure, but we need some more supplies. You'll need to go to Ryloth and extract some Ryll Kor to bring back to the Vratix on Borleias.
TEXT_CONQUEST_BACTAWAR_NR_3,We've successfully secured the Ryll Kor with the cooperation of the Twi'leks. Send Mirax Terrik from Ryloth to Borleias so the Vratix can finish developing the treatment. Her father, Booster, can provide an escort with the Star Destroyer he captured, and the Twi'lek Tal'dira has joined us as well.
TEXT_CONQUEST_BACTAWAR_NR_4,Good work, commander. Mirax has safely made it to Borleias with the Ryll Kor. Now all we need to do is produce the Rylca. We need to be quick, a lot of non-humans are beginning to think this is some sort of conspiracy, and Councillor Fey'lya's comments aren't helping.
TEXT_CONQUEST_BACTAWAR_NR_5,The Vratix have successfully eradicated the Rylca! We can finally end the epidemic and focus on military efforts against the Empire.
TEXT_CONQUEST_BACTAWAR_YONKA_DEFECTS_GE,Ysanne Isard: That worthless captain Sair Yonka has betrayed us! It seems he no longer has the stomach to what must be done to keep order, and may have even gone over to the Rebel scum! If we ever come across him or his family, he must pay for this treachery!
TEXT_CONQUEST_BACTAWAR_YONKA_DEFECTS_NR,Wedge Antilles: Excellent work! Yonka has not only left Isard, but joined us with nearly the full crew of the Avarice!
TEXT_CONQUEST_BACTAWAR_YONKA_INTRO_NR,Wedge Antilles: Our intelligence reports indicate that one of Isard's captains, Sair Yonka of the Star Destroyer Avarice, is growing disillusioned with her bloody policies. He makes regular visits to the Outer Rim near Ryloth, so we may have an opportunity to meet with him and convince him to desert her.
TEXT_CONQUEST_BACTAWAR_ZE_INTRO,Zsinj: It appears that after the blasted Rebels took Coruscant they started shifting their attention to us. We'll have to act fast to build our defenses and push for the core ourselves.
TEXT_CONQUEST_BFC_DL_INTRO_GENERIC,Nil Spaar: I am Nil Spaar, and I am the Viceroy of the Duskhan League. It is time for us to achieve our destiny and wipe the filth from the galaxy. Your pathetic race shall die. Beginning today, their lives depend on their being useful to us. The Yevetha are not civilized, Commander. It would be a mistake to deal with us as though we were.
TEXT_CONQUEST_BFC_DL_INTRO_ONE,Nil Spaar: I am Nil Spaar, and I am the Viceroy of the Duskhan League. It is time for us to achieve our destiny and wipe the filth from the galaxy. The New Republic will die. Beginning today, their lives depend on their being useful to us. The Yevetha are not civilized, Commander. It would be a mistake to deal with us as though we were.
TEXT_CONQUEST_BFC_NR_INTRO_ONE,Leia Organa Solo: Our peace talks with the Duskhan League have fallen through; it's time for military action. I don't think there's any question but that Nil Spaar represents more worlds, a larger population, greater material riches, and a more advanced industrial-technological base than anyone who's come to Imperial City in the last twelve years. And he probably knows it, too.
TEXT_CONQUEST_BFC_SORANNONS_REVOLT,Sil Sorannan: This is Major Sil Sorannan of the Black Sword Command, Imperial Navy--acting captain of the Super Star Destroyer Intimidator and commodore of the Camp Pa'aal Squadron. For twelve years of torture, and too many friends, there isn't enough I can do to you, viceroy, I already know that killing you won't be satisfying. This is good-bye. We are taking back what is ours, starting with our freedom and these ships. We leave the New Republic to you.
TEXT_CONQUEST_CAAMAS_DOCUMENT_FOUND_IR,Gilad Pellaeon: Intel combed the data tapes we recovered from the Hand of Thrawn and found an original copy of the Caamas Document. I can use this to begin treaty negotiations with the New Republic.\n[ PEACE TREATY VICTORY AVAILABLE ]
TEXT_CONQUEST_CAAMAS_DOCUMENT_FOUND_NR,Luke Skywalker: We found an unaltered copy of the Caamas Document on Nirauan! This should put an end to the crisis on Bothawui and in the Senate. Now we have a chance to begin peace talks with Pellaeon.\n[ PEACE TREATY VICTORY AVAILABLE ]
TEXT_CONQUEST_CAAMAS_GE_INTRO,Gilad Pellaeon: The Moff Council's vanity has brought the Empire to its lowest point yet, but there's still hope. The New Republic's present crisis may be our chance to end this war. If we can provide the New Republic with an original copy of the Caamas Document, that may earn us enough goodwill to begin peace negotiations.
TEXT_CONQUEST_CAAMAS_HAND_INTRO,Voss Parck: When Grand Admiral Thrawn left us, he instructed us to wait ten years for his return. That day has not yet come, but the New Republic's present crisis has given us a chance that won't come again. We must act now, or the Empire won't live to see Thrawn's return. Just as the Grand Admiral foresaw, it falls to us to lend a steadying hand to this ailing galaxy - with or without him.
TEXT_CONQUEST_CAAMAS_HINT_THRAWN_1_ALL,At the end of Cycle 10, two Thrawns have the potential to appear:
TEXT_CONQUEST_CAAMAS_HINT_THRAWN_2_ALL,- If the Empire of the Hand has not lost the Hand of Thrawn on Nirauan, a clone of Grand Admiral Thrawn will take over the Hand. 
TEXT_CONQUEST_CAAMAS_HINT_THRAWN_3_ALL,- If Vilim Disra and Grodin Tierce are alive, an imposter Thrawn will take over the Empire.
TEXT_CONQUEST_CAAMAS_HINT_THRAWN_4_E_H,If only one Thrawn appears, a few heroes and ships from the other faction will defect to Thrawn's side.
TEXT_CONQUEST_CAAMAS_HINT_THRAWN_4_NR,If only one Thrawn appears, the Empire and the Hand will join forces under Thrawn.
TEXT_CONQUEST_CAAMAS_HINT_THRAWN_5_E_H,If the imposter appears, Gilad Pellaeon will defect to the Hand.
TEXT_CONQUEST_CAAMAS_NR_INTRO,Ponc Gavrisom: The New Republic is on the verge of civil war. A document was found that implicates prominent Bothans in the bombing of Caamas. Many Senators have demanded they stand trial, but Bothawui refuses to cooperate. Many Republic systems have called up their local forces, and are threatening to send them to Bothawui to force the issue.
TEXT_CONQUEST_CAAMAS_PEACE_GAVRISOM,Ponc Gavrisom: Though the Empire committed grave injustices in the past, these cannot be righted with more injustice. Those who wished for liberation are liberated. Now is the time to bury old grievances.
TEXT_CONQUEST_CAAMAS_PEACE_PELLAEON,Gilad Pellaeon: Despite all the blood that has been shed, I still believe that the ideals of the New Order have value. We disagree on many things, but from now on, our war will be one of ideas. The Galactic Civil War is over.
TEXT_CONQUEST_CAAMAS_PELLAEON_KILLED_IR,Imperial Navy Captain: Without Admiral Pellaeon to hold them back, the Moff Council would sooner throw all our lives away than accept peace with the New Republic. They will continue this war until no one is left to take a blaster bolt for them.
TEXT_CONQUEST_CAAMAS_PELLAEON_KILLED_NR,Gavrisom: Admiral Pellaeon has been killed in battle. Without him, the peace faction in the Imperial Navy no longer has a voice in the Moff Council. All hope for ending this war without further bloodshed is lost. Do what you must, Commander.
TEXT_CONQUEST_CAAMAS_RETURN_GAVRISOM_ONE,Ponc Gavrisom: If Palpatine could return, perhaps Thrawn can do the same... Making matters worse, Intel reports that outsiders from the Unknown Regions have joined with the Empire. The Senate is still in turmoil, so no reinforcements are coming. The survival of the Republic hinges on your forces, Commander.
